date_key,day,full_date,month,quarter,year
20241128,28,2024-11-28,11,4,2024
20241203,3,2024-12-03,12,4,2024
20241205,5,2024-12-05,12,4,2024
20241212,12,2024-12-12,12,4,2024
20241222,22,2024-12-22,12,4,2024
20241229,29,2024-12-29,12,4,2024
20250101,1,2025-01-01,1,1,2025
20250108,8,2025-01-08,1,1,2025
20240826,26,2024-08-26,8,3,2024
20240901,1,2024-09-01,9,3,2024
20240929,29,2024-09-29,9,3,2024
20241001,1,2024-10-01,10,4,2024
20240620,20,2024-06-20,6,2,2024
20240702,2,2024-07-02,7,3,2024
20240705,5,2024-07-05,7,3,2024
20240709,9,2024-07-09,7,3,2024
20241007,7,2024-10-07,10,4,2024
20241108,8,2024-11-08,11,4,2024
20241110,10,2024-11-10,11,4,2024
20241121,21,2024-11-21,11,4,2024
20240227,27,2024-02-27,2,1,2024
20240229,29,2024-02-29,2,1,2024
20240318,18,2024-03-18,3,1,2024
20240326,26,2024-03-26,3,1,2024
20240121,21,2024-01-21,1,1,2024
20240201,1,2024-02-01,2,1,2024
20240204,4,2024-02-04,2,1,2024
20240219,19,2024-02-19,2,1,2024
20240718,18,2024-07-18,7,3,2024
20240719,19,2024-07-19,7,3,2024
20240721,21,2024-07-21,7,3,2024
20240825,25,2024-08-25,8,3,2024
20240428,28,2024-04-28,4,2,2024
20240501,1,2024-05-01,5,2,2024
20240508,8,2024-05-08,5,2,2024
20240510,10,2024-05-10,5,2,2024
